,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
2930,2023,Nov,Wed,2023-11-22,115,Queens north,QUEENS,Misdemeanor,Anti-jewish,Religion
2931,2023,May,Sun,2023-05-14,121,Staten island,RICHMOND,Felony,Anti-jewish,Religion
2932,2024,Apr,Mon,2024-04-22,5,Manhattan south,NEW YORK,Misdemeanor,Anti-white,Race/Color
2933,2024,Jul,Mon,2024-07-15,5,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2934,2024,May,Tue,2024-06-04,6,Manhattan south,NEW YORK,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2935,2024,Sep,Sun,2024-09-08,10,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2936,2024,Jun,Mon,2024-06-17,17,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2937,2024,Jul,Fri,2024-07-26,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2938,2024,May,Mon,2024-05-13,62,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2939,2024,Jun,Mon,2024-06-03,63,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2940,2024,Mar,Wed,2024-03-13,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2941,2024,Mar,Mon,2024-05-06,67,Brooklyn south,KINGS,Felony,Anti-protestant,Religion
2942,2023,Nov,Thu,2023-11-16,26,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2943,2023,Jan,Fri,2023-01-13,43,Bronx,BRONX,Felony,Anti-female homosexual (lesbian),Sexual Orientation
2944,2023,Oct,Fri,2023-11-10,61,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2945,2023,Dec,Sun,2023-12-24,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2946,2023,Nov,Mon,2023-11-20,62,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2947,2023,Jan,Fri,2023-03-24,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2948,2023,Dec,Tue,2023-12-05,72,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2949,2023,Apr,Tue,2023-04-18,79,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2950,2023,Jun,Wed,2023-06-21,90,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
2951,2023,Apr,Mon,2023-04-10,102,Queens south,QUEENS,Misdemeanor,Anti-black,Race/Color
2952,2023,Sep,Tue,2023-09-26,107,Queens south,QUEENS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2953,2023,Feb,Sat,2023-02-18,108,Queens north,QUEENS,Felony,Anti-male homosexual (gay),Sexual Orientation
2954,2023,Mar,Thu,2023-03-09,110,Queens north,QUEENS,Felony,Anti-jewish,Religion
2955,2024,Apr,Fri,2024-04-26,6,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2956,2024,Sep,Thu,2024-09-19,10,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
2957,2024,Mar,Fri,2024-03-22,13,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2958,2023,Jul,Thu,2023-07-13,1,Manhattan south,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
2959,2023,Aug,Tue,2023-08-29,1,Manhattan south,NEW YORK,Misdemeanor,Anti-asian,Race/Color
2960,2023,Dec,Thu,2023-12-28,7,Manhattan south,NEW YORK,Felony,Anti-muslim,Religion
2961,2023,May,Sat,2023-05-13,19,Manhattan north,NEW YORK,Felony,Anti-asian,Race/Color
2962,2023,Oct,Tue,2023-10-17,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2963,2023,Jun,Wed,2023-06-14,22,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2964,2023,Mar,Fri,2023-03-10,48,Bronx,BRONX,Felony,Anti-jewish,Religion
2965,2023,Jun,Sun,2023-06-18,49,Bronx,BRONX,Felony,Anti-catholic,Religion
2966,2023,Oct,Thu,2023-10-26,49,Bronx,BRONX,Felony,Anti-jewish,Religion
2967,2023,Apr,Tue,2023-04-25,60,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2968,2023,Dec,Tue,2023-12-19,62,Brooklyn south,KINGS,Felony,Anti-muslim,Religion
2969,2023,May,Tue,2023-05-16,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2970,2023,Oct,Thu,2023-10-26,70,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2971,2023,Sep,Sat,2023-09-02,78,Brooklyn south,KINGS,Misdemeanor,Anti-asian,Race/Color
2972,2023,Jul,Tue,2023-08-01,90,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2973,2023,Nov,Wed,2023-11-15,102,Queens south,QUEENS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2974,2023,Oct,Thu,2023-10-12,19,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
2975,2023,Dec,Tue,2023-12-19,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
